company_name,job_role,job_location,salary_pa,skills,company_rating,standardized_job_role
Augusta Infotech,Associate Project Manager / PM / SPM - eDiscovery Client Services,Remote,0.0,"Microsoft Powerpoint, Microsoft Excel, Windows, Litigation, Project management",5.0,Manager Roles
Fuzia,Digital Marketing Manager,Remote,600000.0,"Email marketing, Social media marketing, Social media management, Upselling, Quality assurance",,Manager Roles
Digital Marketing Consulting,Digital Marketing Manager / FB Account Manager,Remote,630000.0,"Social media marketing, Facebook Advertising, Analysis skills, Digital marketing, PPC Campaign Management",4.5,Manager Roles
Paramita Tech Private Limited,Digital Marketing Manager,Remote,1080000.0,"Facebook Advertising, Keyword research, Analysis skills, Project management, Digital marketing",,Manager Roles
Sekyo Innovation Pvt. Ltd.,Digital Marketing Manager,India,480000.0,"Adobe Photoshop, Google AdWords, Facebook Advertising, Digital marketing, SEO",,Manager Roles
Sparta International Business,Digital Marketing Manager,India,720000.0,"English, Analysis skills, Project management, Digital marketing, Leadership",,Manager Roles
PAC Cosmetics Pvt Ltd,Assistant Manager - Digital Marketing,India,660000.0,"Email marketing, Facebook Advertising, Keyword research, Analysis skills, Digital marketing",,Manager Roles
CenturySoft Pvt Ltd,Digital Marketing Manager,Pune,1200000.0,"Management, Social media marketing, Social media management, Keyword research, Digital marketing",2.4,Manager Roles
vSplash Techlabs,Associate Manager - Digital Marketing (Social Ads),Hyderābād,288000.0,"Facebook Advertising, Digital marketing, Team management, Google Ads, Leadership",3.5,Manager Roles
Capital Placement Services,"Digital Marketing Manager E-Commerce Company in Udyog Vihar,Gurugram",Gurgaon,550000.0,"Google AdWords, Lead generation, Digital marketing, SEM",,Manager Roles
Texify Solutions Private Limited,Digital Marketing Manager,India,420000.0,"Google AdWords, Social media marketing, WordPress, Keyword research, Adobe Creative Suite",,Manager Roles
MAK COMMERCE LIMITED,Digital Marketing Manager,Hyderābād,240000.0,"Social media marketing, Social media management, Digital marketing, SEO, Organizational skills",,Manager Roles
FCML Distributors Pvt. Ltd.,Digital Marketing Manager,Delhi,720000.0,"Web design, Keyword research, Writing skills, Research, SEO",,Manager Roles
NCR JOB CONSULTANT,Digital Marketing Manager(FEMALE),Greater Noida,780000.0,"Social media marketing, Social media management, English, Digital marketing, SEO",,Manager Roles
Adobe,"Paid Media Manager, India, Digital Media",Bengaluru,850000.0,"Project management, Marketing automation, Marketing",4.2,Manager Roles
Cubic Logics India Pvt Ltd,Sr. Manager Digital Marketing,Bengaluru,0.0,"Adobe Photoshop, Google AdWords, Conversion optimization, Google Search Console, Affiliate marketing",,Manager Roles
"SSK INTERNATIONAL SCHOOL,",Digital Marketing Manager,India,330000.0,"Social media marketing, Social media management, Digital marketing, SEO, Affiliate marketing",,Manager Roles
International Creative Art Center,Digital Media Marketing Manager,Mumbai,240000.0,"Social media marketing, Social media management, Digital marketing, SEO, Relationship management",,Manager Roles
BrandStory,Digital Marketing Manager,Bengaluru,4800000.0,"CSS, Graphic design, Digital marketing, JavaScript, Communication skills",4.2,Manager Roles
Goin My Way,TRAVEL DIGITAL MARKETING MANAGER,Janakpuri,900000.0,"Web analytics, Social media marketing, Social media management, Lead generation, White papers",,Manager Roles
REALISTA MARKETING,Senior Digital Marketing Manager,India,480000.0,"Email marketing, Facebook Advertising, Digital marketing, SEO, Google Ads",,Manager Roles
Genpact,"Assistant Manager, Online Marketing Specialist",Calcutta,1200000.0,"Microsoft Excel, Salesforce, English, Project management, Presentation skills",3.9,Manager Roles
Delhi Press,Digital Marketing Manager,Delhi,0.0,"Digital marketing, Communication skills, SEM",2.5,Manager Roles
Animation Media,Digital Marketing Manager urgent required,Lucknow,300000.0,,,Manager Roles
LKUBE Sports,Female Digital Specialist & Manager,Hyderābād,0.0,"Analysis skills, Digital marketing, Google Analytics",,Manager Roles
Placement Local Services,Digital Marketing Manager ( SEO SPECIALIST ),Mumbai,420000.0,"Microsoft Powerpoint, Adobe Photoshop, Microsoft Excel, SEO, Google Analytics",,Manager Roles
Park Controls & Communications,Manager (Design) – VLSI and Embedded Systems,Bengaluru,750000.0,"FPGA, Research, Project management, Electrical experience, C",3.9,Manager Roles
Vruthii,Manager (Design) – VLSI & Embedded,Bengaluru,2150000.0,"FPGA, Project management, Quality assurance, Electrical experience, C",,Manager Roles
Adonisstataff Services Pvt. Ltd,Manager - R&D & Engineering,Chennai,2250000.0,"2D animation, Data management",,Manager Roles
Boston Consulting Group,Global IT Solution Architect Expert Senior Manager,Gurgaon,650000.0,"CI/CD, Git, Information security, Microservices, Machine learning",4.3,Manager Roles
Amgen,Sr. Manager Information Systems,Hyderābād,4200000.0,"Customer service, Business analysis, Public speaking, Analysis skills, Data management",4.1,Manager Roles
Electronic Arts,Development Manager,Hyderābād,4800000.0,"Project management, Scrum, Software development, Project management methodology, Agile",4.1,Manager Roles
[x]cube LABS,Customer Success Manager,Hyderābād,750000.0,"Microsoft Excel, Business development, AWS, AI, Leadership",4.4,Manager Roles
ADCI HYD 13 SEZ,"Software Dev Manager - L6, Payee Management",Hyderābād,650000.0,"Program management, Management, Team management, Mentoring, Recruiting",3.6,Manager Roles
CODEM CONSULTANCY SERVICES,Augmented & Virtual Reality Technical Manager,Chennai,0.0,Product development,2.0,Manager Roles
ADCI - BLR 14 SEZ - F07,"Manager, Solutions Engineering, Developer Solutions and Engineering",Bengaluru,600000.0,"React, Java, C++, Supervising experience, C",3.6,Manager Roles
"Take-Two Interactive Software, Inc.",Manager- Accounting,Bengaluru,4200000.0,"Hyperion, Microsoft Excel, JD Edwards, ERP systems, SOX",3.8,Manager Roles
Gridlogic,Brand Partnership – Lead / Manager,Hyderābād,0.0,"Business development, Analysis skills, Project management, Relationship management, Events management",4.8,Manager Roles
AVOW GmbH,"Senior Advertising Solution Sales Manager, India",Bengaluru,0.0,"Communication skills, Mobile marketing",4.2,Manager Roles
Unity Technologies,"Partner Relations Manager, Industry (SMB)",Bengaluru,350000.0,"English, Korean, Analysis skills, Unity, Manufacturing",3.3,Manager Roles
Grid Logic Software Private Limited,Brand Partnership – Lead / Manager,Hyderābād,0.0,"Business development, Analysis skills, Project management, Relationship management, Events management",4.8,Manager Roles
Learning Yogi,Lead Game Project Manager,Bengaluru,550000.0,"CI/CD, Project planning, English, Project management, Continuous integration",4.9,Manager Roles
AlgoriX Technology Pte. Ltd.,Business Development Manager,Bengaluru,750000.0,"Mobile applications, SDKs, APIs",3.0,Manager Roles
MOVIN,Assistant Manager - Content Specialist,Gurgaon,450000.0,"Adobe Dreamweaver, Adobe Photoshop, Fireworks, Adobe Captivate, Adobe Illustrator",5.0,Manager Roles
Ubisoft,QC Technical Manager,Pune,4800000.0,"Project management, Quality control, Data analytics, Agile, Leadership",3.6,Manager Roles
Coral Drugs,Manager IT (Information Technology) Specialist,Sonipat,350000.0,"System administration, IT management",1.9,Manager Roles
Sparsa digital Private Limited,Technical Field Support Manager,Gurgaon,800000.0,"Software troubleshooting, Customer service, English, Analysis skills, Team management",,Manager Roles
Vodafone,Deputy Manager _ IT Development Specialist,Pune,800000.0,"Business intelligence, Communication skills",3.9,Manager Roles
Sahakar Solutions,Project Manager - IT Projects & support,Hyderābād,500000.0,"Project management, Leadership, Communication skills",,Manager Roles
ServiceNow,Support Account Manager/Technical Account Manager,Hyderābād,0.0,"Childcare, IT service management, Project management, Presentation skills, Release management",4.4,Manager Roles
BP Energy,FP&A Analytics & Digitization Advisor / Manager,Pune,500000.0,"Power BI, SAP, ERP systems, Tableau, Performance management",3.9,Manager Roles
Beyond The CV,Presentation Design Manager,Remote,1250000.0,"Microsoft Powerpoint, Adobe Photoshop, Adobe Creative Suite, Project management, UX",,Manager Roles
Boston Consulting Group,Content Manager - Knowledge Management Services,Gurgaon,600000.0,"Knowledge management, Spark, English, Project management, Product management",4.3,Manager Roles
Tventurer Pvt Ltd [Team-91.com],Server Manager (Remote),Remote,900000.0,"Microsoft Windows Server, Azure, Operating systems, Windows, AWS",,Manager Roles
Innovins Softtech Solution,Project Manager for a Web and App development Company,Remote,480000.0,"Analysis skills, Project management, Software development, Project management methodology, Requirements gathering",3.5,Manager Roles
Kayzen,Customer Success Manager (m/f/d),Bengaluru,1620000.0,"APIs, Performance marketing, Mobile marketing",4.3,Manager Roles
Deloitte,Penetration Testing - Sr. Analyst/Assistant Manager,Hyderābād,600000.0,"Penetration testing, Information security, Metasploit, Scripting, APIs",4.0,Manager Roles
Accorian,Senior Manager - Penetration Testing (5-7 years),Bengaluru,0.0,"Penetration testing, Information security, Team management, Scripting, APIs",3.0,Manager Roles
Blazeclan Technologies,Security Manager,Pune,650000.0,"Mobile applications, Windows, Network infrastructure, SOAP, Nessus",3.8,Manager Roles
Deloitte,Security Event Monitoring Shift Manager,Hyderābād,500000.0,"Microsoft Windows Server, COBIT, Shift management, Information security, Firewall",4.0,Manager Roles
EY,TC-CS-NGSO TEM-Pen Testing-Manager,Calcutta,950000.0,"Penetration testing, TCP, Operating systems, Configuration management, Windows",3.7,Manager Roles
Alt.Tribe,Client Relationship Manager,Delhi,510000.0,"Management, English, Business development, Communication skills, Negotiation",,Manager Roles
Research Ayu,Clinic Sales Manager,India,450000.0,"Sales, Sales management, Business development, Market research, Leadership",,Manager Roles
ConnectCorp,Corporate Sales Manager,Thiruvananthapuram,414000.0,"Sales, Sales management, Salesforce, Field sales, English",,Manager Roles
ZF,Senior Manager- Customer Product Platform Development,Hyderābād,450000.0,"C, Embedded software, UML, Software development, Debugging",3.9,Manager Roles
CRAVE CLOTHING COMPANY PRIVATE LIMITED - MBD,E-Commerce Account Manager,Chandigarh,360000.0,"CRM software, Inventory control, Microsoft Office, E-Commerce, Warehouse management",,Manager Roles
GUARDIAN COATINGS PVT LTD,General Manager,Hyderābād,1750000.0,"CRM software, Management, Sales, Sales management, English",,Manager Roles
SWS,Digital Marketing Manager,Chandigarh,360000.0,"Facebook Advertising, Project management, Digital marketing, Content marketing, Google Ads",,Manager Roles
Alltex Exim,Manager-sourcing & Marketing-yarn,Surat,700000.0,"Sourcing, Marketing, Negotiation",,Manager Roles
Netflix,"Launch Manager, Product Discovery & Promotion Operations - India",Mumbai,0.0,"English, Project management, Communication skills",4.2,Manager Roles
Dynemech Systems Pvt. Ltd.,Digital Marketing Manager,Pitampura,510000.0,"Lead generation, Project management, Digital marketing, SEO, Content marketing",,Manager Roles
BLSD LAB,"RQ.EXT.R.SDOM | Project Delivery Lead & Manager [Finance ,Marketing & Design ,Remote,25-30K NS]",Remote,330000.0,"Cloud infrastructure, Financial modeling, Operations management, Market analysis, Graphic design",2.6,Manager Roles
Management 88 Inc.,Sales Manager (Startup & SaaS Expertise),Indore,2000000.0,"Customer retention, Sales, Business development, SaaS, AI",1.4,Manager Roles
RNS buildtech,Marketing Manager,Hubli,360000.0,"English, Digital marketing, Customer relationship management, Kannada, Communication skills",,Manager Roles
House Of Gateway LLP,Digital Marketing Manager,Malappuram,270000.0,"Email marketing, Social media marketing, Facebook Advertising, English, Customer segmentation",,Manager Roles
"Deltek, Inc.",Project Manager - Product Launch,Remote,0.0,"Project management, Presentation skills, Product management, Communication skills, Marketing",4.5,Manager Roles
Nakivo,IT Sales Manager,India,600000.0,"Sales, Public speaking, English, Communication skills",,Manager Roles
Keld Ellentoft India Private Limited,Manager Sales,India,300000.0,"English, Assembly, Business development, Analysis skills, Welding",,Manager Roles
Kapoor Lamp Shades,B2B -Institutional Sales Manager - North,India,800000.0,"Pricing, Sales, Customer service, Business development, B2B",,Manager Roles
ColourCoats Furniture,Jr. Marketing Manager,India,600000.0,"Financial planning, Analysis skills, Digital marketing, Communication skills, Performance marketing",,Manager Roles
Switrus Holidays Pvt Ltd,Assistant Marketing Manager,India,150000.0,"Agency management, Sales, B2B, B2B sales, Communication skills",,Manager Roles
Muktaa enterprises,Female Wellness Center Manager,Mumbai,420000.0,"CRM software, Hospitality, English, Organizational skills, Leadership",3.0,Manager Roles
Mastercard,"Manager, Product Management",Pune,0.0,"Information security, Analysis skills, Project management, Product management, Fraud prevention and detection",4.2,Manager Roles
G.L. SUZUKI (Suzuki Two Wheeler Dealership),Sales Manager,Delhi,210000.0,"Sales, Microsoft Office, Leadership, Communication skills, Dealership experience",,Manager Roles
BeingUser,Razorpay - Product Design Manager,Hyderābād,650000.0,"Management, Research, Adobe Creative Suite, UX, Sketch",,Manager Roles
Titan Company,Product Marketing Manager,Bengaluru,600000.0,,5.0,Manager Roles
JPMorganChase,Product Delivery Manager,Bengaluru,700000.0,"Software deployment, Release management, Communication skills, Identity & access management",4.0,Manager Roles
Momento Mart,Sales Manager - Corporate Gifts (PART TIME),Goa,330000.0,"Sales, Sales management, Salesforce, Field sales, English",,Manager Roles
PropertyGuru Pte Ltd,"Senior Manager, Product Analytics",Bengaluru,700000.0,"Go, Relational databases, R, Data analysis skills, Tableau",3.5,Manager Roles
Revolut,Product Strategy Manager,India,0.0,"Machine learning, UX, Data science",3.6,Manager Roles
Boston Consulting Group,Global Product Senior Manager - People & Costs,Gurgaon,3000000.0,"Business intelligence, Enterprise Software, Spark, Tableau, SQL",4.3,Manager Roles
Zenoti,"Manager, Product Management",Hyderābād,450000.0,"Presentation skills, Communication skills",3.7,Manager Roles
Usedon Computer India Pvt. Ltd.,Sr. Sales Manager,Delhi,450000.0,"Sales, Sales management, Salesforce, Business development, B2B sales",4.0,Manager Roles
Mastercard,Product Experience Designer - Manager,Pune,650000.0,"Management, Axure, Lean, Research, Information security",4.2,Manager Roles
IOI SELECT STAYS,AirBnb manager,Remote,240000.0,"Sales, Business development, Recruiting, Typing, Communication skills",,Manager Roles
Escape Velocity,Amazon Ads Manager,Remote,312000.0,"Keyword research, English, Communication skills",,Manager Roles
Office Plus Limited.,Sales Manager- Govt. Sales (Chandigarh Tricity),Mohali,450000.0,"Microsoft Excel, Sales, Field sales, Business development, Analysis skills",,Manager Roles
Prop Ocean Ventures Private Limited,Sales Manager,India,390000.0,"Sales, Sales management, Customer service, Salesforce, Field sales",,Manager Roles
emphire hr services pvt ltd,New Product Development manager,India,700000.0,English,,Manager Roles
Tala,Product Design Manager,Remote,0.0,"Research, Usability, UX, UI, Figma",3.8,Manager Roles
Mastercard,"Manager, Product Management-Technical",Pune,500000.0,"Information security, Analysis skills, Project management, Product development, Product management",4.2,Manager Roles
KWS SAAT SE,Product Development Manager - Nordeste,Bihar,0.0,,4.1,Manager Roles
Siddhi Filter Media,Sales Manager,India,180000.0,"CRM software, Sales, Sales management, English, Organizational skills",,Manager Roles
Zania,Product Marketing Manager,Remote,0.0,"Continuous improvement, Agile, HubSpot, AI, Google Analytics",,Manager Roles
Motilal Oswal Financial Service Ltd,Investment Product Relationship Manager,Mumbai,1450000.0,Relationship management,,Manager Roles
Oneyes Infotech Solutions pvt ltd,Customer Relationship Manager,India,720000.0,,,Manager Roles
InMobi,Manager - HRBP (Tech & Product),Bengaluru,500000.0,"Organization design, Communication skills",3.6,Manager Roles
Micron,Product Line Manager,Hyderābād,0.0,"Customer segmentation, Product development, Communication skills, Marketing",3.8,Manager Roles
M.N. Auto Products Pvt Ltd,Manager - New Product Development,Coimbatore,690000.0,"Sourcing, Microsoft Excel, Leadership",3.5,Manager Roles
SnapSeaarch,Product Category Manager,Mumbai,1000000.0,"Customer service, Lead generation, Customer segmentation, Analysis skills, Media planning",3.2,Manager Roles
Magic Infomedia,Product Listing Manager,Delhi,0.0,,,Manager Roles
Motion And Pacolls Pvt Ltd,Sales/Business Development Manager,India,390000.0,"Sales, Sales management, Salesforce, Field sales, English",,Manager Roles
Muktaa enterprises,Sales Manager,Mumbai,390000.0,"English, Business development",3.0,Manager Roles
Mahindra & Mahindra Ltd,Manager Product Management,Mumbai,900000.0,,4.0,Manager Roles
GEP,Manager - Product Management,India,0.0,"Analysis skills, Presentation skills, Agile, Communication skills, Time management",3.9,Manager Roles
Whatfix,Website Product & Growth Manager,Bengaluru,4200000.0,"Jira, Google Suite, WordPress, Project management, Continuous improvement",3.6,Manager Roles
LevNext Pvt Ltd,Product Sales Manager,Remote,300000.0,"Sales, Customer relationship management, B2B sales, Communication skills",,Manager Roles
maxacc,Amazon ads Manager,Remote,78000.0,"Keyword research, Analysis skills, Digital marketing, B2B Marketing, Communication skills",,Manager Roles
Circles.Life,"Manager I, Product Design",Bengaluru,0.0,"Jira, Adobe XD, Usability, UX, B2B",2.7,Manager Roles
Amex,Manager-Digital Product Management,Gurgaon,500000.0,"Information security, Data management, Product management, Agile",4.1,Manager Roles
"Advanced Micro Devices, Inc",Manager Product Management,Hyderābād,500000.0,"Azure, Management, FPGA, Software deployment, Application development",4.0,Manager Roles
Goodyear,Manager - Product Assurance,Aurangābād,600000.0,"Microsoft Powerpoint, Microsoft Excel, Microsoft Office",3.6,Manager Roles
Phenom People,Product Experience Manager,Hyderābād,600000.0,"Axure, Visual design, Human resources, UX, UI",4.0,Manager Roles
Google,Product Technology Manager,Hyderābād,0.0,"Program management, CSS, Java, OOP, C++",4.3,Manager Roles
Titan Company,Manager-New Product Development(PED),Coimbatore,800000.0,"Management, English, Tamil, Quality control, Mechanical knowledge",5.0,Manager Roles
Lykis Ltd,New Product Development Manager,India,900000.0,"Analysis skills, Project management, Product development, Product management",,Manager Roles
Nurturing Interns Private Limited,Product Marketing Manager,Bengaluru,2300000.0,"Customer segmentation, Process mapping, Analysis skills, Presentation skills, Digital marketing",,Manager Roles
Yessor Techs,Sales Manager,Coimbatore,650000.0,"CRM software, Sales, Sales management, Analysis skills, Team management",,Manager Roles
Bluefence Systems Pvt Ltd,Sales Manager Safety,India,630000.0,"CRM software, Telugu, Sales, Sales management, English",,Manager Roles
Goodrichcereals private limited,Production and New product development Manager,Karnāl,312000.0,"Food processing, Project management, Product development, Production planning, Manufacturing",,Manager Roles
Diagnostics Pvt.Ltd,Operations and Alliance Manager,India,540000.0,"Operations management, Project management, Negotiation",,Manager Roles
Technoflair Solutions,Product Delivery Manager,India,0.0,"Microsoft Office, IVR, SDKs, Direct sales, Software development",4.7,Manager Roles
Apple,"Product Marketing Manager- Platforms,",Gurgaon,0.0,"Product development, AI, Communication skills",4.1,Manager Roles
Calderys,Global Product Launch Manager,India,0.0,"Project management, Product management, B2B, Organizational skills, Manufacturing",2.7,Manager Roles
IkonikbeZ,Product Listing Manager,India,300000.0,"Microsoft Excel, E-Commerce, SEO, Google Analytics",,Manager Roles
RAD Resources,B2B Marketing Manager,Hyderābād,780000.0,"Sales, Digital marketing, B2B sales, Google Analytics, B2B Marketing",,Manager Roles
Issac Technologies,Manager - Product Support and Implementation,Calcutta,800000.0,"Project management, Team management, Banking",4.2,Manager Roles
Pan Seeds,Area Manager - Product Development (Field Crops),Gaya,700000.0,"Microsoft Powerpoint, Microsoft Word, Microsoft Excel, Forecasting",3.0,Manager Roles
Western Union,"Assistant Manager, Product Management",Pune,0.0,"Lean, Research, Product development, Product management, Usability",3.6,Manager Roles
CEAT,Manager - PPC (CEAT_JR_253),Mumbai,0.0,"Production planning, Analytics",4.3,Manager Roles
Big Internet Seller Service Inc,Amazon PPC Manager,Remote,354000.0,"Microsoft Excel, Analysis skills, SEM",,Manager Roles
BKS Textiles Pvt Ltd.,Manager / Asst. Manager - Product Development (Home Textiles),Tiruppūr,450000.0,"Analysis skills, Product development, Production planning, Product management, Software development",,Manager Roles
Equisoft,"Manager, Product Development",Hyderābād,700000.0,"Azure, React, English, Java, Software development",4.1,Manager Roles
HORECASTORE,Manager-Technical Product Content,Remote,0.0,"Hospitality, Google Docs, CSS, Keyword research, Arabic",,Manager Roles
Propel Industries,Manager – Product Management – MU – 0004,Coimbatore,0.0,Product management,4.0,Manager Roles
Edureify Technology,Digital Marketing Manager,Remote,0.0,"Analysis skills, Digital marketing, SEO, Google Analytics",2.2,Manager Roles
i2e Consulting,SEO Manager,Remote,0.0,"CSS, SEO, Management reporting, SEO tools, HTML",4.2,Manager Roles
Ujjivan Small Finance Bank,Cluster Manager,Āgra,750000.0,,3.4,Manager Roles
Apple,Product Quality Manager - Product Operations,Bengaluru,0.0,"Statistics, R, Data analysis skills, English, Quality management",4.1,Manager Roles
BADA FINANCE,Relationship Manager,Mumbai,360000.0,"Sales, Customer service, Business development, Customer relationship management, Communication skills",,Manager Roles
NICE Systems,"Manager, Product Management",Pune,650000.0,"Kanban, Product development, Product management, Scrum, Agile",4.3,Manager Roles
SR SEATIING PRIVATE LIMIITED,Manager - New Product Development,Bengaluru,390000.0,English,,Manager Roles
Mahindra & Mahindra Ltd,Manager - Product Development,Pune,850000.0,"Management, Financial analysis, Electrical experience, Construction, CATIA",4.0,Manager Roles
Ather Space - Electric Scooter Experience Center,Marketing Manager,Coimbatore,210000.0,"Sales, Sales management, Salesforce, English, Business development",,Manager Roles
Aparna Constructions,Manager @ Club House (Resort),Hyderābād,0.0,"Hospitality, Guest relations, Chef",3.9,Manager Roles
The/Nudge,"Manager, Product Management, Asha Kiran",Lucknow,550000.0,"English, Project management, Product development, UX, UI",,Manager Roles
BBG INDIA DEVELOPERS,Content Manager,India,700000.0,"Telugu, English, Content creation, SEO, Content marketing",,Manager Roles
ekincare,Product Marketing Manager,Hyderābād,1050000.0,"E-Commerce, Analysis skills, UX, Software development, UI",3.7,Manager Roles
PepsiCo,Product Delivery Associate Manager,Gurgaon,4200000.0,"Azure, Management, Project management, Scrum, Agile",3.9,Manager Roles
ras media and entertainment pvt ltd,Customer Relationship Manager,India,360000.0,"Management, Sales, Sales management, Customer service, English",,Manager Roles
Hinge-Health,"Manager, Product Design",Bengaluru,900000.0,"Typography, Management, Salesforce, SaaS, Interaction design",3.7,Manager Roles
Consumer Tech,Affiliate Operations Manager,Remote,1100000.0,"Business intelligence, Operations management, Salesforce, Data analysis skills, E-Commerce",3.9,Manager Roles
Credflow,Relationship Manager - Loan Sales,Noida,450000.0,"Sales, Upselling, Business development, Relationship management, Credit analysis",,Manager Roles
Maruti Suzuki India Ltd,Brand Manager,Delhi,0.0,Communication skills,3.8,Manager Roles
SMV CASTINGS AND ENGG,Wanted Factory Manager Coir Product,Coimbatore,4320000.0,Manufacturing,4.2,Manager Roles
Onelab ventures,Delivery Manager,India,1250000.0,"Jira, Waterfall, Trello, Analysis skills, Project management",,Manager Roles
Penna Trade Links,SALES MANAGER - EXPORTS (FROZEN SEAFOODS),Cochin,420000.0,"CRM software, Sales, Lead generation, English, Microsoft Office",,Manager Roles
Brindco Sales Pvt. Ltd.,"Sales Manager - Evian (Delhi, Chennai,Bangalore)",Delhi,600000.0,"Business development, Analysis skills, Leadership, Communication skills, Negotiation",,Manager Roles
Collabwish Media,Media Manager,Remote,36000.0,"Social media marketing, Digital marketing, SEO, B2B Marketing, Marketing",,Manager Roles
American Express Global Business Travel,Product Planning & Performance Manager,Haryana,0.0,"Data analysis skills, Financial analysis, Analysis skills, Agile, Data visualization",4.1,Manager Roles
Maruti Suzuki India Ltd,Market Research Manager,Delhi,0.0,"Buffer, Market research",3.8,Manager Roles
CBRE,Assistant Manager - MIS,Greater Noida,550000.0,"Microsoft Word, Microsoft Excel, Microsoft Outlook, Microsoft Office, Math",3.9,Manager Roles
Apple,Manager - Apple Store Online User Acceptance Testing (UAT),Hyderābād,0.0,"SAP, Test automation, Process improvement, E-Commerce, Analysis skills",4.1,Manager Roles
Avizva,Manager Product Designer – Visual,Gurgaon,600000.0,"Responsive web design, Visual design, UI, Figma, Communication skills",2.8,Manager Roles
ClinicMind,Marketing Manager in HealthTech - WFH,Hyderābād,500000.0,"Branding, Sales support, Salesforce, Analysis skills, Leadership",4.7,Manager Roles
